frame_id,body_length,withers_height,mask_area,camera_height,curvature_angle,weight
10,15.0,4.1015625,13429,1.8,0,3.076171875
10,7.888888888888888,4.3828125,8974,1.8,0,1.7287760416666667
20,15.0,4.1015625,13189,1.8,0,3.076171875
20,15.0,2.6015625,7597,1.8,0,1.951171875
30,14.555555555555555,4.1015625,12968,1.8,0,2.9850260416666665
30,16.77777777777778,5.1328125,18973,1.8,0,4.305859375
40,20.333333333333332,4.851562500000001,20821,1.8,0,4.932421875
40,14.555555555555555,4.1015625,12954,1.8,0,2.9850260416666665
40,20.333333333333332,4.851562500000001,20843,1.8,0,4.932421875
40,15.0,4.1953125,13275,1.8,0,3.146484375
50,8.777777777777777,2.6484375,4769,1.8,0,1.1623697916666667
50,19.444444444444446,4.5703125,20346,1.8,0,4.443359375000001
50,14.555555555555555,4.2890625,12915,1.8,0,3.121484375
50,19.444444444444446,4.4765625,20191,1.8,0,4.352213541666666
50,15.0,4.1953125,13163,1.8,0,3.146484375
60,14.555555555555555,4.2890625,13002,1.8,0,3.121484375
70,13.222222222222221,2.3671875,8312,1.8,0,1.5649739583333333
70,8.777777777777777,4.4765625,9075,1.8,0,1.9647135416666663
70,23.0,5.8828125,28345,1.8,0,6.765234375000001
70,14.555555555555555,4.2890625,13008,1.8,0,3.121484375
70,12.777777777777777,3.4453125,8766,1.8,0,2.201171875
80,12.333333333333332,3.0703125,9855,1.8,0,1.8933593749999997
80,14.555555555555555,4.2890625,12977,1.8,0,3.121484375
90,14.555555555555555,4.1953125,13016,1.8,0,3.0532552083333333
100,9.666666666666666,4.3828125,10346,1.8,0,2.118359375
100,8.777777777777777,3.9140625,8124,1.8,0,1.7178385416666666
100,9.666666666666666,4.3828125,10319,1.8,0,2.118359375
110,6.555555555555556,4.664062500000001,8790,1.8,0,1.528776041666667
110,10.999999999999998,4.9453125,12333,1.8,0,2.719921875
110,8.777777777777777,4.9453125,10832,1.8,0,2.1704427083333333
110,9.666666666666666,4.5703125,10358,1.8,0,2.208984375
120,10.555555555555555,4.1015625,8617,1.8,0,2.164713541666667
120,13.666666666666666,3.9609375,8754,1.8,0,2.706640625
120,6.555555555555556,3.7265624999999996,7746,1.8,0,1.221484375
120,7.888888888888888,4.3828125,10709,1.8,0,1.7287760416666667
120,12.777777777777777,5.1328125,11680,1.8,0,3.279296875
120,9.222222222222221,2.7890625,5912,1.8,0,1.2860677083333334
140,16.11111111111111,4.1953125,11337,1.8,0,3.379557291666667
140,14.555555555555555,4.3828125,13173,1.8,0,3.1897135416666664
150,15.0,4.1953125,13310,1.8,0,3.146484375
160,15.0,4.1953125,13372,1.8,0,3.146484375
160,7.444444444444444,2.9296875000000004,5484,1.8,0,1.0904947916666667
160,15.88888888888889,2.3671875,5225,1.8,0,1.8805989583333336
160,10.11111111111111,4.1953125,9843,1.8,0,2.120963541666667
170,12.88888888888889,2.3671875,5302,1.8,0,1.5255208333333334
170,14.555555555555555,4.078125,12945,1.8,0,2.96796875
170,14.11111111111111,3.2578125000000004,7684,1.8,0,2.2985677083333336
180,14.555555555555555,4.9453125,19527,1.8,0,3.5990885416666667
180,10.11111111111111,4.265625,7605,1.8,0,2.156510416666667
180,10.444444444444443,2.3671875,4715,1.8,0,1.2361979166666668
180,7.888888888888888,4.500000000000001,10109,1.8,0,1.7750000000000001
190,21.22222222222222,3.0703125,16513,1.8,0,3.2579427083333328
190,36.77777777777778,3.0703125,18268,1.8,0,5.645963541666666
210,15.0,4.2890625,13267,1.8,0,3.216796875
220,15.0,4.664062500000001,13683,1.8,0,3.4980468750000004
230,15.0,4.2890625,13403,1.8,0,3.216796875
240,15.0,4.1953125,13302,1.8,0,3.146484375
250,15.0,4.1953125,13381,1.8,0,3.146484375
260,15.0,4.1953125,13239,1.8,0,3.146484375
270,15.0,4.171875000000001,13321,1.8,0,3.12890625
280,15.0,4.1953125,13259,1.8,0,3.146484375
290,15.0,4.1953125,13350,1.8,0,3.146484375
300,15.0,4.1015625,13280,1.8,0,3.076171875
310,15.0,4.1953125,13376,1.8,0,3.146484375
320,15.0,4.1953125,13308,1.8,0,3.146484375
